22 57 1514
19 57 1514
20 57 1514
23 56 1515
22 55 1516
22 57 1515
21 56 1515
22 56 1514
24 56 1514
22 57 1514
23 57 1514
25 56 1515
24 56 1514
23 56 1515
22 56 1516
23 57 1514
21 56 1517
22 57 1514
22 56 1515
23 56 1516
19 56 1516
22 56 1514
23 56 1516
21 56 1515
21 57 1515
21 56 1515
20 56 1515
21 55 1515
21 56 1515
20 56 1515
22 56 1514
22 55 1515
22 56 1515
24 55 1516
22 56 1513
20 56 1515
24 56 1513
18 50 1513
21 54 1510
19 54 1507
15 53 1502
17 52 1499
15 51 1496
16 54 1492
13 53 1490
14 51 1488
12 50 1481
9 51 1478
9 51 1471
10 51 1462
6 48 1458
5 50 1447
3 52 1446
0 50 1442
-3 50 1433
-4 50 1426
-3 48 1422
-4 48 1412
-8 47 1406
-7 50 1396
-11 48 1392
-15 47 1384
-18 50 1377
-20 52 1366
-18 51 1362
-27 54 1352
-24 55 1341
-25 52 1337
-27 53 1330
-27 50 1327
-27 54 1313
-31 52 1311
-29 51 1301
-34 53 1293
-32 53 1286
-33 54 1278
-34 53 1275
-31 51 1268
-36 50 1261
-34 51 1256
-34 52 1249
-35 50 1244
-38 51 1238
-39 48 1229
-38 49 1225
-37 51 1221
-39 51 1213
-36 50 1208
-39 51 1203
-37 47 1195
-38 49 1189
-36 48 1184
-37 49 1176
-37 52 1172
-37 49 1166
-40 50 1159
-36 50 1154
-37 52 1148
-35 52 1143
-37 50 1136
-38 48 1128
-35 49 1122
-36 48 1114
-37 51 1109
-38 50 1103
-38 51 1098
-38 50 1089
-38 50 1085
-39 50 1078
-37 49 1070
-38 48 1065
-38 48 1057
-41 49 1052
-37 51 1047
-39 50 1036
-42 51 1030
-41 49 1023
-40 50 1019
-43 52 1010
-41 48 1005
-45 49 998
-43 51 991
-45 50 983
-46 52 978
-45 51 971
-44 50 966
-46 52 959
-47 51 951
-48 51 946
-47 48 940
-47 52 932
-50 51 924
-53 48 920
-54 47 915
-53 48 906
-54 48 899
-54 48 890
-56 46 886
-59 46 878
-56 46 873
-57 47 867
-60 46 859
-59 46 855
-62 46 846
-61 46 840
-62 47 833
-64 48 826
-63 47 820
-63 45 814
-65 45 809
-65 46 800
-65 49 795
-64 45 789
-68 48 782
-70 47 775
-69 46 768
-70 47 762
-70 48 755
-71 47 748
-71 44 747
-71 45 737
-80 46 730
-77 45 723
-76 45 716
-78 44 710
-81 42 705
-75 45 698
-76 47 691
-75 43 683
-77 44 677
-78 42 669
-79 43 662
-79 43 658
-79 44 650
-79 44 643
-76 45 638
-77 44 631
-75 44 625
-75 43 620
-72 45 613
-74 42 608
-75 44 598
-76 44 593
-74 45 586
-77 44 579
-72 46 575
-73 43 567
-72 43 561
-71 41 553
-72 43 547
-71 43 542
-72 44 535
-74 44 530
-70 42 521
-73 42 520
-71 42 512
-71 40 508
-70 38 501
-68 42 490
-72 38 488
-71 38 480
