x,y,z,Yaw,Roll,Pitch,Data Size,Frame Rate
-132,101,480,-7,70,71,1245,7.764446
-168,581,1729,34,-76,21,1541,7.347694
53,553,2148,1,-90,25,22220,7.557112
-384,757,2545,-4,68,80,1950,8.328285
