-15 145 1536
-15 142 1537
-14 143 1536
-14 145 1536
-13 143 1535
-18 142 1521
-18 141 1513
-16 141 1501
-17 141 1491
-17 138 1479
-15 142 1469
-15 139 1456
-13 137 1443
-16 136 1436
-14 136 1423
-12 135 1411
-14 135 1399
-19 135 1390
-14 135 1381
-17 134 1371
-14 133 1363
-13 133 1353
-14 132 1348
-16 130 1339
-17 130 1330
-14 131 1320
-16 129 1307
-15 128 1293
-12 128 1282
-10 126 1274
-12 127 1270
-11 127 1260
-12 125 1254
-10 126 1241
-8 124 1227
-7 123 1221
-7 124 1212
-8 125 1204
-12 123 1190
-14 121 1183
-9 121 1171
-10 117 1159
-11 117 1150
-10 117 1141
-11 116 1133
-9 116 1124
-9 116 1112
-10 118 1102
-7 118 1094
-9 116 1082
-11 116 1068
-11 118 1054
-9 117 1042
-8 116 1030
-6 120 1021
-5 118 1017
-7 116 1006
-7 109 996
-3 108 986
-6 107 976
-4 103 967
-4 99 954
-3 97 941
-5 93 931
-5 91 919
-8 92 907
-3 89 898
-2 92 893
-3 90 883
-2 89 868
-4 89 860
-5 89 849
-4 87 837
-3 86 828
-6 87 815
-4 80 802
0 83 798
1 85 787
-1 82 777
-1 78 762
-1 80 751
-3 81 741
-3 81 734
-2 80 727
-2 78 715
0 75 705
1 75 698
1 73 688
0 71 673
1 72 665
0 68 656
0 70 649
